Encuesta;Días;Observacion;Elección;Porcentaje;Resultado
Cadem;11;Prim.Chile Vamos;Briones;13.0;9.85
Cadem;11;Prim.Chile Vamos;Sichel;28.0;49.24
Cadem;11;Prim.Chile Vamos;Desbordes;14.0;9.83
Cadem;11;Prim.Chile Vamos;NS/NR;10.0;0
Cadem;18;Prim.Chile Vamos;Lavín;33.0;31.08
Cadem;18;Prim.Chile Vamos;Briones;18.0;9.85
Cadem;18;Prim.Chile Vamos;Sichel;24.0;49.24
Cadem;18;Prim.Chile Vamos;Desbordes;15.0;9.83
Cadem;18;Prim.Chile Vamos;NS/NR;6.0;0
Criteria;23;Prim.Chile Vamos;Lavín;34.0;31.08
Criteria;23;Prim.Chile Vamos;Briones;6.0;9.85
Criteria;23;Prim.Chile Vamos;Sichel;31.0;49.24
Criteria;23;Prim.Chile Vamos;Desbordes;8.0;9.83
Criteria;23;Prim.Chile Vamos;NS/NR;11.0;0
Activa;25;Prim.Chile Vamos;Lavín;26.7;31.08
Activa;25;Prim.Chile Vamos;Briones;3.1;9.85
Activa;25;Prim.Chile Vamos;Sichel;21.6;49.24
Activa;25;Prim.Chile Vamos;Desbordes;9.4;9.83
Activa;25;Prim.Chile Vamos;NS/NR;31.2;0
Data Influye;22;Prim.Chile Vamos;Lavín;38.0;31.08
Data Influye;22;Prim.Chile Vamos;Briones;10.0;9.85
Data Influye;22;Prim.Chile Vamos;Sichel;38.0;49.24
Data Influye;22;Prim.Chile Vamos;Desbordes;14.0;9.83
Cadem;25;Prim.Chile Vamos;Lavín;43.0;31.08
Cadem;25;Prim.Chile Vamos;Briones;11.0;9.85
Cadem;25;Prim.Chile Vamos;Sichel;28.0;49.24
Cadem;25;Prim.Chile Vamos;Desbordes;11.0;9.83
Cadem;25;Prim.Chile Vamos;NS/NR;6.0;0
Cadem;32;Prim.Chile Vamos;Lavín;46.0;31.08
Cadem;32;Prim.Chile Vamos;Briones;11.0;9.85
Cadem;32;Prim.Chile Vamos;Sichel;23.0;49.24
Cadem;32;Prim.Chile Vamos;Desbordes;10.0;9.83
Cadem;32;Prim.Chile Vamos;NS/NR;7.0;0
Activa;40;Prim.Chile Vamos;Lavín;21.8;31.08
Activa;40;Prim.Chile Vamos;Briones;7.1;9.85
Activa;40;Prim.Chile Vamos;Sichel;19.0;49.24
Activa;40;Prim.Chile Vamos;Desbordes;8.4;9.83
Activa;40;Prim.Chile Vamos;NS/NR;20.2;0
Activa;54;Prim.Chile Vamos;Lavín;27.8;31.08
Activa;54;Prim.Chile Vamos;Briones;2.2;9.85
Activa;54;Prim.Chile Vamos;Sichel;15.6;49.24
Activa;54;Prim.Chile Vamos;Desbordes;3.3;9.83
Activa;54;Prim.Chile Vamos;NS/NR;25.1;0
Cadem;60;Prim.Chile Vamos;Lavín;35.0;31.08
Cadem;60;Prim.Chile Vamos;Briones;12.0;9.85
Cadem;60;Prim.Chile Vamos;Sichel;25.0;49.24
Cadem;60;Prim.Chile Vamos;Desbordes;12.0;9.83
Cadem;60;Prim.Chile Vamos;NS/NR;16.0;0
Cadem;4;Apruebo Dignidad;Boric;53.0;60.42
Cadem;4;Apruebo Dignidad;Jadue;43.0;39.58
Cadem;4;Apruebo Dignidad;NS/NR;2.0;0
Cadem;11;Apruebo Dignidad;Boric;43.0;60.42
Cadem;11;Apruebo Dignidad;Jadue;53.0;39.58
Cadem;11;Apruebo Dignidad;NS/NR;2.0;0
Cadem;18;Apruebo Dignidad;Boric;35.0;60.42
Cadem;18;Apruebo Dignidad;Jadue;56.0;39.58
Cadem;18;Apruebo Dignidad;NS/NR;3.0;0
Criteria;23;Apruebo Dignidad;Boric;22.0;60.42
Criteria;23;Apruebo Dignidad;Jadue;56.0;39.58
Criteria;23;Apruebo Dignidad;NS/NR;10.0;0
Activa;25;Apruebo Dignidad;Boric;27.6;60.42
Activa;25;Apruebo Dignidad;Jadue;44.7;39.58
Activa;25;Apruebo Dignidad;NS/NR;25.4;0
Data Influye;22;Apruebo Dignidad;Boric;46.0;60.42
Data Influye;22;Apruebo Dignidad;Jadue;54.0;39.58
Cadem;25;Apruebo Dignidad;Boric;36.0;60.42
Cadem;25;Apruebo Dignidad;Jadue;56.0;39.58
Cadem;25;Apruebo Dignidad;NS/NR;3.0;0
Cadem;32;Apruebo Dignidad;Boric;40.0;60.42
Cadem;32;Apruebo Dignidad;Jadue;54.0;39.58
Cadem;32;Apruebo Dignidad;NS/NR;2.0;0
Activa;40;Apruebo Dignidad;Boric;18.1;60.42
Activa;40;Apruebo Dignidad;Jadue;41.9;39.58
Activa;40;Apruebo Dignidad;NS/NR;15.9;0
Activa;54;Apruebo Dignidad;Boric;14.3;60.42
Activa;54;Apruebo Dignidad;Jadue;32.8;39.58
Activa;54;Apruebo Dignidad;NS/NR;29.9;0
Cadem;60;Apruebo Dignidad;Boric;19.0;60.42
Cadem;60;Apruebo Dignidad;Jadue;47.0;39.58
Cadem;60;Apruebo Dignidad;NS/NR;34.0;0
